City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Byron Bay,AU,-28.65,153.62,69.01,37,0,6.93,clear sky
200,San Ramon,US,37.78,-121.98,79.0,50,90,5.82,haze
201,Nova Olimpia,BR,-14.8,-57.29,72.14,50,0,2.21,clear sky
202,Moose Factory,CA,51.26,-80.61,46.4,93,75,4.7,broken clouds
203,Itamarandiba,BR,-17.86,-42.86,51.15,95,55,3.49,broken clouds
204,Fare,PF,-16.7,-151.02,77.99,78,15,19.66,few clouds
205,Kuminskiy,RU,58.67,66.57,51.69,94,92,7.09,light rain
206,Tocopilla,CL,-22.09,-70.2,58.33,63,38,2.64,scattered clouds
207,Beringovskiy,RU,63.05,179.32,54.97,77,37,6.38,scattered clouds
208,Karratha,AU,-20.74,116.85,90.37,16,1,6.69,clear sky
209,Eureka,US,40.8,-124.16,57.99,100,2,2.06,clear sky
210,Vilyuysk,RU,63.76,121.62,57.33,44,0,8.52,clear sky
211,Los Llanos De Aridane,ES,28.66,-17.92,78.01,56,1,11.41,clear sky
212,French Harbor,HN,16.35,-86.43,84.52,82,2,14.43,clear sky
213,Lubao,PH,14.92,120.55,90.0,66,74,13.0,broken clouds
214,Grand-Santi,GF,4.25,-54.38,72.01,95,85,1.14,overcast clouds
215,Barceloneta,PR,18.45,-66.54,82.0,91,64,4.0,broken clouds
216,Tay Ninh,VN,11.3,106.1,90.61,55,58,7.87,broken clouds
217,Ahero,KE,-0.17,34.92,67.01,78,97,1.68,overcast clouds
218,Bandarbeyla,SO,9.49,50.81,78.35,65,46,30.22,scattered clouds
219,Bertoua,CM,4.58,13.68,66.54,98,100,2.35,overcast clouds
220,Yarkovo,RU,57.4,67.08,56.07,83,15,8.7,few clouds
221,La Baule-Escoublac,FR,47.29,-2.36,57.2,93,75,5.82,broken clouds
222,Paracuru,BR,-3.41,-39.03,79.0,68,16,21.0,few clouds
223,Sao Felix Do Xingu,BR,-6.64,-51.99,81.59,40,75,2.44,broken clouds
224,Pedro Ii,BR,-4.42,-41.46,67.01,89,86,2.68,overcast clouds
225,Dunedin,NZ,-45.87,170.5,53.01,85,91,1.01,overcast clouds
226,Reitz,ZA,-27.8,28.43,44.71,52,0,5.19,clear sky
227,Coueron,FR,47.22,-1.72,57.0,93,32,2.24,scattered clouds
228,Jackson,US,42.42,-122.83,87.8,20,1,4.7,smoke
229,Camana,PE,-16.62,-72.71,59.77,78,98,4.47,overcast clouds
230,Todos Santos,MX,23.45,-110.22,77.0,95,0,1.61,clear sky
231,Dutlwe,BW,-23.98,23.9,51.42,47,0,8.61,clear sky
232,Muta,SI,46.61,15.17,63.0,98,100,2.93,overcast clouds
233,Acarau,BR,-2.89,-40.12,76.26,82,50,14.38,scattered clouds
234,Ojinaga,MX,29.57,-104.42,89.6,24,1,12.75,clear sky
235,Eten,PE,-6.91,-79.86,59.95,89,0,9.06,clear sky
236,Yulara,AU,-25.24,130.99,82.4,15,0,12.75,clear sky
237,Sendafa,ET,9.15,39.03,55.4,93,75,3.74,broken clouds
238,Qasigiannguit,GL,68.82,-51.19,39.2,80,0,0.83,clear sky
239,Cidreira,BR,-30.18,-50.21,60.33,84,0,14.2,clear sky
240,Richards Bay,ZA,-28.78,32.04,58.95,80,0,3.65,clear sky
241,Kruisfontein,ZA,-34.0,24.73,54.0,90,100,6.13,light rain
242,Olinda,BR,-8.01,-34.86,73.4,83,40,4.7,scattered clouds
243,Vanavara,RU,60.34,102.28,66.22,42,49,7.76,scattered clouds
244,Ust-Tarka,RU,55.57,75.7,60.08,77,74,7.27,broken clouds
245,Nokaneng,BW,-19.67,22.27,57.9,55,0,7.56,clear sky
246,Sidi Ali,DZ,36.1,0.42,68.67,95,0,2.21,clear sky
247,Khatanga,RU,71.97,102.5,67.51,46,96,14.5,overcast clouds
248,Aykhal,RU,66.0,111.5,55.4,47,0,4.47,clear sky
249,Mitu,CO,1.2,-70.17,72.48,79,49,1.9,scattered clouds
250,San Patricio,MX,19.22,-104.7,80.83,82,89,2.06,overcast clouds
251,La Ronge,CA,55.1,-105.28,60.8,72,75,5.82,broken clouds
252,Cherskiy,RU,68.75,161.3,39.4,92,100,8.28,light rain
253,Lubbock,US,33.6,-101.83,82.99,36,1,12.75,clear sky
254,Cardiff,GB,51.48,-3.18,57.2,93,40,3.36,light rain
255,Lagoa,PT,39.05,-27.98,72.77,89,0,18.81,clear sky
256,Nebyliv,UA,48.82,24.22,64.4,100,75,4.47,shower rain
257,Severo-Kurilsk,RU,50.68,156.12,54.28,85,52,5.1,broken clouds
258,Fremont,US,37.55,-121.99,77.0,56,40,10.29,haze
259,Krasnoselkup,RU,65.7,82.47,62.31,61,41,7.94,scattered clouds
260,Benguela,AO,-12.58,13.41,68.0,87,43,1.59,scattered clouds
261,Mahon,ES,39.89,4.27,75.2,57,0,12.75,clear sky
262,Marienburg,PL,54.04,19.03,55.0,100,3,7.67,clear sky
